x,y,z,g,wa,wr
99.0,122.0,95.0,94,-34.0,90
103.0,122.0,96.0,96,-34.0,90
106.0,122.0,97.0,98,-33.0,90
111.0,122.0,97.0,99,-33.0,90
115.0,122.0,97.0,100,-33.0,90
115.0,122.0,98.0,100,-34.0,90
112.0,120.0,98.0,100,-36.0,90
105.0,104.0,97.0,100,-37.0,90
94.0,90.0,93.0,99,-38.0,90
82.0,87.0,89.0,96,-37.0,90
59.0,87.0,87.0,94,-35.0,90
37.0,87.0,85.0,93,-34.0,90
22.0,87.0,83.0,94,-33.0,90
7.0,88.0,83.0,96,-32.0,90
2.0,95.0,83.0,99,-32.0,90
5.0,109.0,85.0,103,-33.0,90
14.0,117.0,87.0,106,-34.0,90
25.0,117.0,88.0,108,-39.0,90
42.0,118.0,89.0,110,-46.0,90
56.0,118.0,90.0,112,-53.0,90
60.0,118.0,90.0,113,-58.0,90
61.0,123.0,91.0,113,-62.0,90
59.0,141.0,91.0,113,-64.0,90
52.0,158.0,92.0,113,-64.0,90
45.0,167.0,92.0,113,-63.0,90
37.0,172.0,93.0,112,-62.0,90
33.0,174.0,93.0,112,-60.0,90
30.0,176.0,93.0,112,-58.0,90
28.0,177.0,92.0,112,-57.0,90
28.0,177.0,92.0,112,-56.0,90
29.0,177.0,92.0,111,-55.0,90
32.0,175.0,91.0,110,-54.0,90
35.0,173.0,90.0,110,-54.0,90
41.0,168.0,89.0,109,-55.0,90
50.0,153.0,88.0,108,-57.0,90
59.0,130.0,87.0,108,-61.0,90
60.0,116.0,86.0,108,-65.0,90
57.0,109.0,86.0,109,-70.0,90
55.0,106.0,86.0,110,-76.0,90
57.0,105.0,86.0,111,-81.0,90
58.0,104.0,86.0,112,-83.0,90
59.0,104.0,86.0,113,-83.0,90
62.0,104.0,85.0,113,-82.0,90
63.0,104.0,85.0,114,-80.0,90
62.0,104.0,85.0,114,-79.0,90
63.0,104.0,85.0,114,-77.0,90
62.0,104.0,85.0,114,-76.0,90
63.0,104.0,85.0,114,-75.0,90
72.0,105.0,85.0,114,-70.0,90
79.0,127.0,86.0,115,-57.0,90
75.0,148.0,86.0,114,-40.0,90
67.0,151.0,87.0,113,-22.0,90
63.0,151.0,87.0,112,-5.0,90
61.0,151.0,88.0,110,9.0,90
60.0,151.0,88.0,109,18.0,90
63.0,151.0,89.0,106,25.0,90
65.0,149.0,89.0,105,26.0,90
67.0,145.0,89.0,105,24.0,90
67.0,142.0,89.0,106,21.0,90
69.0,140.0,89.0,106,18.0,90
70.0,139.0,89.0,107,13.0,90
71.0,138.0,89.0,107,8.0,90
71.0,137.0,90.0,108,2.0,90
