x,y,z,g,wa,wr
117.0,158.0,48.0,78,-3.0,90
119.0,158.0,51.0,81,-3.0,90
124.0,158.0,53.0,84,-4.0,90
128.0,158.0,55.0,85,-3.0,90
130.0,158.0,56.0,86,-3.0,90
129.0,159.0,57.0,85,-3.0,90
128.0,159.0,58.0,84,-2.0,90
129.0,160.0,58.0,83,-1.0,90
129.0,160.0,58.0,83,-1.0,90
127.0,161.0,58.0,84,0.0,90
115.0,162.0,59.0,86,1.0,90
106.0,162.0,60.0,88,1.0,90
92.0,162.0,60.0,89,2.0,90
63.0,164.0,61.0,90,4.0,90
43.0,169.0,62.0,91,6.0,90
37.0,180.0,63.0,90,6.0,90
37.0,188.0,64.0,90,6.0,90
37.0,190.0,65.0,90,7.0,90
38.0,191.0,66.0,90,6.0,90
38.0,191.0,66.0,91,7.0,90
37.0,191.0,67.0,92,7.0,90
38.0,192.0,67.0,93,7.0,90
37.0,192.0,67.0,93,7.0,90
40.0,193.0,67.0,94,7.0,90
45.0,193.0,68.0,96,6.0,90
45.0,192.0,72.0,100,4.0,90
49.0,191.0,79.0,109,2.0,90
52.0,188.0,86.0,119,2.0,90
51.0,186.0,91.0,127,3.0,90
52.0,187.0,94.0,131,4.0,90
54.0,187.0,96.0,133,4.0,90
60.0,186.0,98.0,136,4.0,90
58.0,186.0,99.0,140,3.0,90
59.0,186.0,100.0,142,2.0,90
51.0,186.0,100.0,143,3.0,90
50.0,185.0,100.0,145,5.0,90
50.0,185.0,100.0,143,6.0,90
50.0,184.0,100.0,145,7.0,90
53.0,184.0,99.0,144,7.0,90
55.0,184.0,99.0,141,11.0,90
51.0,183.0,99.0,136,19.0,90
47.0,181.0,99.0,129,30.0,90
47.0,178.0,99.0,125,36.0,90
51.0,174.0,100.0,122,40.0,90
40.0,167.0,100.0,119,45.0,90
36.0,150.0,100.0,118,49.0,90
44.0,139.0,100.0,118,51.0,90
43.0,135.0,99.0,118,53.0,90
45.0,137.0,99.0,118,53.0,90
53.0,139.0,99.0,116,53.0,90
52.0,140.0,98.0,115,53.0,90
53.0,141.0,98.0,115,52.0,90
57.0,149.0,98.0,115,50.0,90
55.0,168.0,98.0,117,39.0,90
50.0,181.0,98.0,117,27.0,90
47.0,190.0,99.0,117,17.0,90
45.0,194.0,99.0,118,9.0,90
40.0,194.0,100.0,118,3.0,90
40.0,192.0,100.0,118,-2.0,90
39.0,192.0,101.0,118,-6.0,90
33.0,189.0,101.0,117,-11.0,90
27.0,183.0,100.0,114,-19.0,90
25.0,172.0,100.0,110,-28.0,90
24.0,165.0,99.0,106,-34.0,90
23.0,160.0,98.0,103,-39.0,90
24.0,158.0,98.0,103,-43.0,90
25.0,157.0,97.0,104,-45.0,90
25.0,156.0,97.0,105,-47.0,90
26.0,156.0,97.0,103,-48.0,90
26.0,156.0,97.0,102,-48.0,90
27.0,156.0,97.0,101,-48.0,90
30.0,155.0,97.0,100,-47.0,90
37.0,155.0,97.0,97,-45.0,90
46.0,155.0,97.0,92,-42.0,90
53.0,155.0,96.0,88,-41.0,90
55.0,155.0,93.0,81,-40.0,90
54.0,152.0,89.0,73,-40.0,90
53.0,150.0,85.0,67,-41.0,90
50.0,148.0,81.0,62,-41.0,90
48.0,145.0,78.0,57,-42.0,90
45.0,143.0,74.0,53,-43.0,90
44.0,142.0,71.0,49,-43.0,90
44.0,142.0,68.0,46,-43.0,90
43.0,142.0,67.0,44,-42.0,90
43.0,142.0,65.0,42,-42.0,90
43.0,142.0,64.0,42,-42.0,90
43.0,142.0,63.0,41,-42.0,90
44.0,141.0,63.0,41,-41.0,90
43.0,143.0,64.0,42,-32.0,90
34.0,147.0,65.0,45,-18.0,90
27.0,147.0,68.0,50,-4.0,90
26.0,144.0,71.0,54,7.0,90
28.0,143.0,74.0,57,13.0,90
31.0,142.0,76.0,59,17.0,90
32.0,142.0,77.0,61,19.0,90
33.0,142.0,78.0,61,19.0,90
33.0,142.0,78.0,62,20.0,90
34.0,142.0,78.0,62,20.0,90
35.0,143.0,79.0,64,20.0,90
35.0,145.0,80.0,69,21.0,90
